"Font Settings","フォント設定"
"Change Font","フォントを変更"
"Font file","フォントファイル"
"IPA Gothic","IPA ゴシック"
"IPA P Gothic","IPA Pゴシック"
"IPA Mincho","IPA 明朝"
"IPA P Mincho","IPA P明朝"
