"Tax Rounding Method","税端数丸め方法"
"Floor","切り捨て"
"Ceil","切り上げ"
"Round","四捨五入"
"Yen","円"
"Currency configuration","通貨設定"
"Position","位置"
"Right and use Kanji","漢字を使用し右に表示"
"Left and use symbol","記号を使用し左に表示"
