"Store Address Template","店舗住所テンプレート"
"Text","テキスト"
"Text One Line","一行テキスト"
"HTML","HTML"
"PDF","PDF"
"Text (Japan Locale)","テキスト (日本のロケール)"
"Text One Line (Japan Locale)","一行テキスト (日本のロケール)"
"HTML (Japan Locale)","HTML (日本のロケール)"
"PDF (Japan Locale)","PDF (日本のロケール)"
