"Only Katakana","カタカナのみ"
"Only Hiragana","ひらがなのみ"
"Both","両方"
"Name","名前"
"Name Kana Options","Name Kana Options"
"Use Kana","フリガナを使用する"
"Require Kana on frontend","フロントエンドでフリガナ必須"
"Acceptable Kana character type on frontend","フロントエンドで許可するカナの種類"
"Name Kana","フリガナ（名前）"
"Firstname Kana","フリガナ（名）"
"Lastname Kana","フリガナ（姓）"
"Billing Firstname Kana","Billing Firstname Kana"
"Billing Lastname Kana","Billing Lastname Kana"
